titulo;autor;isbn;paginas;ano;categoria
Orçamento sem falhas;Nath Finanças;9786555601565;128;2021;Negócios/Economia
Minha Sombria Vanessa;Kate Elizabeth Russell;9788551006276;432;2020;Ficção Geral
Recursão;Blake Crouch;9788551005378;320;2020;Ficção Geral
M, o Filho do Século;Antonio Scurati;9788551006078;816;2020;Ficção Geral
Oblivion Song: Entre Dois Mundos;Robert Kirkman;9788551006252;136;2020;Ficção Geral
Não se humilha, não;Isabela Freitas;9788551006092;320;2020;Ficção Geral
Os segredos que guardamos;Lara Prescott;9788551005675;368;2020;Suspense/Thriller
Baby Shark!;Stevie Lewis;9788551005842;32;2020;Ficção Geral
A Guerra Pela Uber;Mike Isaac;9788551006214;464;2020;Ficção Histórica
Cidade nas Trevas;Adam Christopher;9788551006290;384;2020;Ficção Geral
Território Lovecraft;Matt Ruff;9788551006191;352;2020;Ficção Geral
A última porta;Scott Cawthon;9788551005989;336;2020;Ficção Geral
A Última Festa (e-Book);Lucy Foley;9788551005736;304;2020;Ficção Geral
Uma chance de lutar; Elizabeth Warren;9788551006313;400;2020;Ficção Geral
Uma Dor Tão Doce;David Nicholls;9788551005743;384;2020;Ficção Geral
DUPLICADO Este é o Mar;Mariana Enriquez;9788551005019;0;2020;Ficção Geral
A Última Festa;Lucy Foley;9788551005729;304;2020;Ficção Geral
Coragem;Raina Telgemeier;9788551006542;224;2020;Ficção Geral
A Convenção das Aves;Ransom Riggs;9788551006238;320;2020;Ficção Geral
Como o Cérebro Cria;David Eagleman;9788551006481;304;2020;Ficção Geral
1793;Niklas Natt och Dag;9788551006320;432;2020;Ficção Geral
Território Lovecraft;Matt Ruff;9788551006207;352;2020;Ficção Geral
Para Todos os Garotos que Já Amei;Jenny Han;9788580577266;320;2020;Ficção Geral
P.S.: Ainda Amo Você;Jenny Han;9788580578690;304;2020;Ficção Geral
O Livro de Líbero;Alfredo Nugent Setubal;9788551006177;256;2020;Ficção Geral
Terra Americana;Jeanine Cummins;9788551006528;416;2020;Ficção Geral
Você não merece ser feliz;Daniel Furlan;9788551006443;160;2020;Ficção Geral
O Livro De Líbero;Alfredo Nugent Setubal;9788551006177;256;2020;Ficção Geral
Princípios Para O Sucesso;Ray Dalio;9788551006467;168;2020;Desenvolvimento Pessoal
Black Hammer (Vol #4);Jeff Lemire;9788551006634;192;2020;Ficção Geral
A Convenção Das Aves;Ransom Riggs;9788551006245;320;2020;Ficção Geral
As Outras Pessoas;C.J. Tudor;9788551006504;304;2020;Ficção Geral
Uma Dor Tão Doce;David Nicholls;9788551005743;384;2020;Ficção Geral
A Grande Gripe;John M. Barry;9786555600162;608;2020;Ficção Geral
The Outsiders;S. E. Hinton;9788551006627;240;2020;Ficção Geral
SuperNormal;Greg James;9788551006719;336;2020;Ficção Geral
Inimigo Mortal;Michael T. Osterholm;9786555600131;304;2020;Ficção Geral
O Silêncio da Cidade Branca;Eva García Sáenz de Urturi;9788551006689;416;2020;Ficção Geral
A Casa Holandesa;Ann Patchett;9788551006184;345;2020;Ficção Geral
A Ultima Festa;Lucy Foley;nan;338;2020;Ficção Geral
A Tumba do Tirano;Rick Riordan;9788551005347;368;2020;Ficção Geral
As Outras Pessoas;C.J. Tudor;9788551006504;304;2020;Ficção Geral
Coraline;Neil Gaiman;9788551006757;224;2020;Ficção Geral
Sol da Meia-Noite;Stephenie Meyer;9786555600292;736;2020;Ficção Geral
Malorie;Josh Malerman;9786555600254;288;2020;Ficção Geral
Observações sobre um planeta nervoso;Matt Haig;9786555600209;320;2020;Ficção Científica
Onde os sonhos acontecem;Robert Iger;9788551006672;304;2020;Ficção Geral
A Vida Mentirosa dos Adultos;Elena Ferrante;9788551005910;430;2020;Ficção Geral
Capital e Ideologia;Thomas Piketty;9788551006153;1056;2020;Ficção Geral
A vida mentirosa dos adultos;Elena Ferrante;9788551006375;432;2020;Ficção Geral
O Árabe do Futuro;Riad Sattouf;9788551006665;288;2020;Ficção Científica
Com Amor, Creekwood;Becky Albertalli;9786555600278;144;2020;Romance
A Dança da Água;Ta-Nehisi Coates;9788551006368;400;2020;Ficção Geral
A Casa Holandesa;Ann Patchett;9788551006603;352;2020;Ficção Geral
Relatório da Desigualdade Mundial 2018;Facundo Alvaredo;nan;458;2020;Ficção Geral
Os Dois Mundos de Isabel;Daniela Arbex;9788551006580;304;2020;Ficção Geral
Cartas para Martin;Nic Stone;9788551006658;256;2020;Ficção Geral
A dança da água;Ta-Nehisi Coates;9788551006368;400;2020;Ficção Geral
Adultos; Emma Jane Unsworth;9786555600032;400;2020;Ficção Geral
Piano Mecânico;Kurt Vonnegut;9786555600223;496;2020;Ficção Geral
Amor & Sorte;Jenna Evans Welch;9786555600087;272;2020;Romance
Amor & Sorte;Jenna Evans Welch;9786555600094;272;2020;Romance
A Regra é Não Ter Regras;Reed Hastings;9786555600315;352;2020;Ficção Geral
Território Lovecraft;Matt Ruff;nan;395;2020;Ficção Geral
Árvore dos Desejos;K. A. Applegate;9786555600483;224;2020;Ficção Geral
A troca;Beth O'Leary;9786555600070;352;2020;Ficção Geral
A Troca;Beth O'Leary;9788551005941;352;2020;Ficção Geral
A Caminho da Guerra;Graham Allison;9786555600346;416;2020;Ficção Histórica
Nada Ortodoxa;Deborah Feldman;9786555600452;304;2020;Ficção Geral
Ruptura;Monica de Bolle;9786555600360;320;2020;Ficção Geral
Cercado de Idiotas;THOMAS ERIKSON;9786555600322;304;2020;Ficção Geral
Box Neil Gaiman;NEIL GAIMAN;9786555600551;1240;2020;Ficção Geral
A Torre de Nero;Rick Riordan;9786555600636;336;2020;Ficção Geral
Quase uma Rockstar;Matthew Quick;9788580576764;256;2020;Ficção Geral
Coraline;Neil Gaiman;9788551006757;224;2020;Ficção Geral
Promessa de Pai;Joe Biden;9786555600520;256;2020;Ficção Geral
Shine;Jessica Jung;9786555600506;368;2020;Ficção Geral
O Refúgio;Mick Kitson;9786555600650;320;2020;Ficção Geral
Estas Verdades;Jill Lepore;9786555600612;1072;2020;Ficção Geral
Adultos; Emma Jane Unsworth;9786555600032;400;2020;Ficção Geral
Pachinko;Min Jin Lee;9788551005958;528;2020;Ficção Geral
A Troca;Beth O'Leary;9786555600438;352;2020;Ficção Geral
A cachorra;Pilar Quintana;9788551006597;160;2020;Ficção Geral
Vamos Sonhar Juntos;Papa Francisco;9786555601251;144;2020;Ficção Geral
O Esplêndido e o Vil;Erik Larson;9786555600902;324;2020;Ficção Geral
Mataram Marielle;Chico Otávio;9786555600384;224;2020;Ficção Geral
Royal City: Segredos em família;Jeff Lemire;9786555600926;160;2020;Suspense/Thriller
O Retorno;Nicholas Sparks;9786555650570;288;2020;Ficção Geral
Princípios do Estrategista;Felipe Miranda;9786555600810;320;2020;Ficção Geral
Nada Ortodoxa;Deborah Feldman;9786555600469;304;2020;Ficção Geral
Alexander Hamilton; Ron Chernow;9788551006139;896;2020;Ficção Geral
Laura Dean vive terminando comigo;Mariko Tamaki;9786555601145;304;2020;Ficção Geral
Box Five Nights at Freddys (Trilogia Completa);Scott Cawthon;9786555600858;992;2020;Ficção Geral
BOX NÃO SE APEGA, NÃO;ISABELA FREITAS;9786555600544;1500;2020;Ficção Geral
